date,meantempm,MaxTemp,MinTemp,meantempm_1,meanhumidity,maxhumidity,minhumidity,meanhumidity_1,maxdewptm,mindewptm,meanpressurem,maxpressurem,minpressurem,precipm,windspeed
23-09-18,30.5,32,29,31,73%,85%,61%,75%,30,27,1009,1010,1008,176mm,3.728mph
24-09-18,30.5,32,29,29,67.50%,72%,63%,68%,26,21,1009,1010,1008,174mm,5.593mph
25-09-18,30.5,33,28,30,79%,86%,72%,77%,25,23,1007,1008,1006,260mm,3.728mph
26-09-18,30.5,33,28,31,73%,86%,60%,72%,24,21,1007,1008,1006,271mm,0 mph
27-09-18,29.5,33,26,30,79.50%,92%,67%,80%,27,26,1007.5,1008,1007,264mm,3.728mph
28-09-18,32.5,35,30,33,63.50%,70%,57%,64%,25,21,1007.5,1009,1006,176mm,0 mph
29-09-18,31,34,28,30,72%,80%,64%,65%,28,21,1008,1009,1007,167mm,3.728mph
30-09-18,31.5,35,28,32,65%,85%,45%,66%,29,20,1007.5,1008,1007,276mm,1.864mph
01-10-18,30.5,33,28,31,74%,79%,69%,75%,26,24,1003,1004,1002,135mm,1.864mph
02-10-18,29.5,35,24,30,60.50%,81%,40%,61%,28,25,1009,1010,1008,131mm,9.321mph
03-10-18,31,35,27,30,64%,82%,46%,65%,30,27,1008,1009,1007,139mm,2.486mph
04-10-18,31,33,29,32,66%,70%,62%,67%,25,20,1008.5,1010,1007,132mm,3.107mph
05-10-18,31.5,34,29,32,60%,58%,62%,61%,27,23,1010,1011,1009,125mm,0 mph
06-10-18,29,33,25,30,74.50%,83%,66%,75%,31,24,1008,1010,1009,128mm,3.107mph
07-10-18,29.5,34,25,30,70.50%,92%,49%,71%,35,29,1009,1010,1008,135mm,1.243mph
08-10-18,29.5,34,25,30,58%,77%,39%,59%,27,21,1008.5,1009,1008,125mm,3.728mph
09-10-18,29,30,28,30,67%,84%,50%,68%,29,20,1007,1008,1006,134mm,0 mph
10-10-18,25.5,26,25,24,85.50%,86%,85%,86%,25,21,1008.5,1009,1008,123mm,0 mph
11-10-18,25.5,27,24,26,83.50%,92%,75%,84%,31,29,1010,1011,1009,140mm,8.078mph
12-10-18,25,26,24,25,88.50%,92%,85%,89%,27,23,1010.5,1011,1010,136mm,3.728mph
13-10-18,24.5,26,23,25,88%,92%,84%,89%,28,25,1010,1011,1009,141mm,5.593mph
14-10-18,26,29,23,27,79.50%,94%,65%,80%,36,29,1009,1010,1008,139mm,16.778mph
15-10-18,54,31,23,55,81%,99%,63%,80%,35,27,1012,1013,1011,135mm,3.728mph
16-10-18,27.5,32,23,28,70%,91%,49%,71%,33,26,1012,1013,1011,133mm,0.621mph
17-10-18,27.5,31,24,28,64.50%,79%,50%,65%,28,25,1010.5,1012,1009,130mm,2.586mph
18-10-18,28,32,24,29,65%,83%,47%,66%,25,23,1010,1011,1009,139mm,0 mph
19-10-18,28.5,33,24,29,66%,88%,44%,65%,35,23,1010.5,1011,1010,135mm,1.864mph
20-10-18,26.5,28,25,27,77.50%,81%,74%,78%,32,29,1010.5,1011,1010,131mm,0 mph
21-10-18,28,33,23,29,69%,90%,48%,70%,27,25,843.5,1013,674,136mm,2.486mph
22-10-18,27.5,32,23,28,59.50%,75%,44%,60%,25,23,757.5,1010,505,139mm,2.486mph
23-10-18,27,31,23,27,81%,92%,70%,80%,29,23,1010.5,1011,1010,132mm,0.621mph
24-10-18,27,32,22,28,69%,90%,48%,70%,31,30,1011,1012,1010,134mm,2.486mph
25-10-18,28.5,32,25,29,52.50%,57%,48%,53%,35,28,1012,1014,1010,140mm,3.728mph
26-10-18,26.5,32,21,27,58%,72%,44%,59%,26,21,1013,1014,1012,137mm,2.486mph
27-10-18,28.5,33,24,29,62%,72%,52%,61%,26,21,1013,1014,1012,135mm,3.728mph
28-10-18,23.5,26,21,24,75%,83%,67%,74%,32,27,1015,1016,1014,138mm,6.836mph
29-10-18,23.5,26,21,24,84%,92%,76%,85%,25,23,1013.5,1014,1013,132mm,3.107mph
30-10-18,25.5,29,22,26,72%,84%,60%,70%,28,29,1013,1014,1012,130mm,3.728mph
31-10-18,26,29,23,27,79.50%,92%,67%,80%,39,28,1013,1014,1012,138mm,0 mph
01-11-18,24,24,24,24,88%,88%,88%,89%,40,32,1013,1013,1013,25mm,0 mph
02-11-18,22.5,25,20,23,75%,86%,64%,76%,38,36,1013,1014,1012,28mm,0mph
03-11-18,23.5,26,21,24,67%,74%,60%,66%,32,30,1012,1014,1010,31mm,0 mph
04-11-18,23.5,26,21,24,75%,83%,67%,74%,34,30,1011,1012,1010,32mm,0mph
05-11-18,27,31,23,27,80%,92%,70%,80%,36,35,1010.5,1011,1010,35mm,0 mph
06-11-18,27.5,32,23,28,59.50%,75%,44%,60%,36,31,1010,1010,1010,36mm,0 mph
07-11-18,25.5,29,22,26,70.50%,79%,62%,71%,30,28,1013,1014,1012,33mm,1.864mph
08-11-18,25.5,29,22,26,63%,82%,44%,64%,35,31,1012,1014,1010,39mm,1.864mph
09-11-18,25,29,21,24,64%,78%,50%,65%,37,31,1011,1012,1010,33mm,1.864mph
10-11-18,23,27,19,24,73%,89%,57%,75%,31,30,1012,1013,1011,35mm,0 mph
11-11-18,24.5,29,20,25,63%,76%,50%,64%,39,35,1013,1014,1012,37mm,1.864mph
12-11-18,22.5,26,19,23,75%,84%,66%,74%,32,28,1010.5,1012,1009,35mm,0 mph
13-11-18,25.5,30,21,26,63%,76%,50%,64%,31,30,1008.5,1010,1009,31mm,2.486mph
14-11-18,24,29,19,25,69%,90%,48%,70%,33,25,1011,1012,1010,34mm,0 mph
15-11-18,25,30,20,26,68%,90%,46%,69%,34,32,1012.5,1013,1012,29mm,0 mph
16-11-18,26.5,31,22,27,61%,89%,33%,60%,33,27,1012,1013,1011,33mm,1.864mph
17-11-18,25.5,30,21,25,64.50%,71%,58%,65%,29,24,1010.5,1011,1010,32mm,4.35mph
18-11-18,24,29,19,25,60%,74%,46%,60%,31,26,1013.5,1014,1013,37mm,2.486mph
19-11-18,24,29,19,26,62.50%,81%,44%,63%,32,25,1015,1016,1014,31mm,2.486mph
20-11-18,21,24,18,22,85%,90%,80%,85%,34,23,1014.5,1015,1014,26mm,0 mph
21-11-18,23,23,23,23,64%,64%,64%,64%,31,25,1012,1012,1012,25mm,0 mph
22-11-18,23.5,28,19,24,66%,77%,55%,67%,38,23,1014,1015,1013,31mm,2.486mph
23-11-18,23.5,28,19,24,65%,88%,42%,66%,36,32,1014.5,1015,1014,37mm,1.243mph
24-11-18,23,28,18,25,75%,89%,61%,76%,31,28,1014,1014,1014,39mm,0 mph
25-11-18,24,28,20,25,56.50%,64%,49%,57%,39,25,1015,1016,1014,41mm,3.107mph
26-11-18,23.5,29,18,24,70.50%,85%,56%,71%,32,23,1013.5,1014,1013,30mm,1.864mph
27-11-18,25.5,31,20,26,62.50%,77%,48%,63%,40,36,1014.5,1015,1014,36mm,4.35mph
28-11-18,26,30,22,27,53.50%,62%,45%,54%,39,38,1015.5,1016,1015,33mm,1.243mph
29-11-18,24.5,29,20,25,46.50%,60%,33%,47%,37,35,1017.5,1018,1017,31mm,3.728mph
30-11-18,23,28,18,24,65%,83%,47%,66%,33,32,1016.5,1017,1016,32mm,0 mph
