date,meantempm,MaxTemp,MinTemp,meantempm_1,meanhumidity,maxhumidity,minhumidity,meanhumidity_1,meanpressurem,maxpressurem,minpressurem,precipm,windspeed,maxdew,mindew
03-Jun-19,28,30,25,29,86%,99%,72%,84.00%,1003%,1006,1001,338.4mm,2mph,24,22
04-Jun-19,28,31,25,27,81%,89%,73%,80.00%,1003%,1004,1002,337.5mm,3mph,25,22
05-Jun-19,26,26,25,25,93%,94%,92%,90.00%,1004%,1004,1004,340.4mm,3mph,26,22
06-Jun-19,29,31,26,28,77%,95%,59%,75.00%,1003%,1005,1002,340.4mm,3mph,24,22
07-Jun-19,29,32,26,30,80%,95%,65%,81.00%,1005%,1006,1004,339.4mm,3mph,26,22
08-Jun-19,30,33,27,31,77%,90%,64%,75.00%,1003%,1005,1001,339.4mm,6mph,25,23
09-Jun-19,28,28,28,29,90%,90%,89%,87.00%,1002%,1003,1002,339.4mm,3mph,26,23
10-Jun-19,33,35,31,33,63%,74%,52%,64.00%,1000%,1002,998,339.4mm,3mph,25,22
11-Jun-19,29,29,29,28,82%,82%,82%,80.00%,1002%,1002,1002,336.6mm,6mph,25,23
12-Jun-19,33,35,31,32,66%,73%,59%,64.00%,1000%,1001,999,339.4mm,3mph,26,23
13-Jun-19,33,34,31,31,72%,79%,65%,71.00%,998%,1000,996,336.4mm,6mph,24,22
14-Jun-19,31,32,30,30,80%,83%,76%,82.00%,997%,998,996,338.6mm,3mph,25,23
15-Jun-19,28,30,26,27,80%,90%,69%,79.00%,998%,1000,997,336.4mm,6mph,25,23
16-Jun-19,31,35,26,30,76%,88%,64%,77.00%,998%,1000,997,338.4mm,2mph,25,23
17-Jun-19,32,35,29,32,79%,92%,65%,79.00%,1000%,1001,997,339.4mm,2mph,26,22
18-Jun-19,30,34,25,30,76%,91%,61%,75.00%,998%,1000,997,339.4mm,6mph,26,22
19-Jun-19,32,35,28,31,78%,81%,59%,79.00%,998%,1000,997,336.4mm,3mph,25,23
20-Jun-19,31,34,28,30,76%,93%,59%,75.00%,1000%,1002,998,339.4mm,3mph,26,21
21-Jun-19,31,34,28,29,78%,97%,58%,77.00%,1002%,1003,1002,336.4mm,2mph,25,21
22-Jun-19,32,32,32,31,69%,69%,69%,67.00%,1004%,1004,1004,339.4mm,7mph,24,22
23-Jun-19,34,36,31,33,61%,73%,48%,63.00%,1002%,1003,1002,339.4mm,2mph,26,21
24-Jun-19,33,36,29,32,70%,91%,48%,69.00%,1004%,1006,1002,338.6mm,3mph,26,23
25-Jun-19,32,35,29,29,71%,83%,58%,73.00%,1003%,1005,1001,339.4mm,3mph,26,22
26-Jun-19,32,35,29,30,75%,90%,60%,74.00%,1001%,1003,999,336.4mm,3mph,24,21
27-Jun-19,30,32,28,28,81%,91%,70%,80.00%,999%,1002,997,336.4mm,2mph,25,23
28-Jun-19,30,32,27,27,86%,97%,75%,85.00%,998%,999,997,338.4mm,6mph,25,21
29-Jun-19,31,34,27,29,79%,95%,62%,78.00%,997%,999,996,337.6mm,3mph,24,21
30-Jun-19,31,34,28,30,80%,94%,66%,81.00%,996%,998,995,339.4mm,2mph,25,22
01-Jul-19,31,33,28,29,78%,94%,61%,76.00%,996%,998,996,373.1mm,6mph,26,21
02-Jul-19,27,28,26,25,86%,94%,77%,87.00%,997%,999,998,373.1mm,6mph,26,22
03-Jul-19,32,33,31,30,67%,70%,63%,68.00%,996%,998,997,376.4mm,6mph,26,22
04-Jul-19,29,29,29,26,91%,91%,91%,90.00%,1000%,1000,1000,373.4mm,0mph,26,21
05-Jul-19,29,30,28,27,76%,85%,67%,66.00%,998%,998,997,371.4mm,3mph,26,21
06-Jul-19,29,30,27,28,87%,90%,83%,88.00%,994%,996,993,373.1mm,3mph,26,24
07-Jul-19,29,30,27,27,90%,96%,83%,91.00%,996%,99900%,999%,373.1mm,6mph,26,24
08-Jul-19,29,30,28,30,90%,100%,79%,90.00%,998%,999,998,376.4mm,3mph,26,24
09-Jul-19,30,31,28,29,88%,93%,83%,89.00%,998%,999,997,373.1mm,5mph,26,23
10-Jul-19,30,32,28,28,82%,90%,74%,81.00%,998%,999,997,373.1mm,6mph,26,24
11-Jul-19,28,30,26,26,89%,94%,83%,89.00%,1001%,1004,999,376.4mm,5mph,26,24
12-Jul-19,29,32,26,26,87%,96%,77%,87.00%,1003%,1004,1002,373.1mm,3mph,26,24
13-Jul-19,30,33,26,29,84%,98%,70%,85.00%,1001%,1003,999,373.1mm,3mph,26,24
14-Jul-19,27,29,25,28,90%,95%,85%,89.00%,1000%,1002,998,373.1mm,3mph,26,24
15-Jul-19,28,30,26,30,89%,96%,79%,89.00%,1000%,1001,999,376.4mm,6mph,26,24
16-Jul-19,31,34,27,32,91%,97%,85%,90.00%,1001%,1003,999,373.1mm,3mph,26,24
17-Jul-19,31,35,27,31,81%,100%,61%,83.00%,1001%,1002,1001,373.1mm,6mph,26,24
18-Jul-19,32,34,29,30,73%,77%,68%,75.00%,999%,1001,998,373.1mm,2mph,26,24
19-Jul-19,31,34,28,30,75%,84%,66%,76.00%,1002%,1003,1001,373.1mm,2mph,26,24
20-Jul-19,32,35,29,29,71%,89%,53%,70.00%,1003%,1005,1002,376.4mm,3mph,26,24
21-Jul-19,32,35,29,31,72%,91%,52%,73.00%,1003%,1005,1001,373.1mm,2mph,26,23
22-Jul-19,31,32,30,30,80%,83%,76%,79.00%,1003%,1004,1003,373.1mm,2mph,26,23
23-Jul-19,32,33,30,33,71%,78%,64%,73.00%,1000%,1002,999,373.1mm,6mph,26,24
24-Jul-19,30,30,29,30,85%,90%,79%,86.00%,1002%,1003,1002,373.1mm,3mph,26,24
25-Jul-19,30,33,27,32,80%,96%,63%,81.00%,1000%,1002,999,373.1mm,2mph,26,24
26-Jul-19,28,30,26,29,88%,96%,80%,89.00%,999%,1001,997,376.4mm,6mph,26,24
27-Jul-19,28,30,26,27,86%,97%,74%,87.00%,999%,1001,998,376.4mm,6mph,26,24
28-Jul-19,30,32,27,31,76%,89%,63%,77.00%,1002%,1003,1001,373.1mm,6mph,26,24
29-Jul-19,30,32,28,30,80%,83%,76%,82.00%,1002%,1004,1001,373.1mm,2mph,26,24
30-Jul-19,30,31,28,31,80%,90%,69%,80.00%,1003%,1004,1002,376.4mm,3mph,26,24
31-Jul-19,28,28,28,29,89%,89%,89%,89.00%,1004%,1004,1004,376.4mm,2mph,26,24
